name,link,author,list,index,page_count
Risks from Learned Optimization,https://arxiv.org/pdf/1906.01820.pdf,Evan Hubinger et al.,AI safety upskill to ML,"ML engineering,First entry",9,39
Research agenda for AI alignment,https://intelligence.org/files/TechnicalAgenda.pdf,"David Soares, Benya Fallenstein",NA,NA,11
Research priorities for robust and beneficial AI,https://arxiv.org/abs/1602.03506,"Stuart Russell, Daniel Dewey, Max Tegmark",First entry,6,9
Alignment for advanced machine learning systems,https://intelligence.org/files/AlignmentMachineLearning.pdf,Jessica Taylor et al.,"First entry,ML engineering",12,25
Training a Helpful and Harmless Assistant with RLHF,https://arxiv.org/pdf/2204.05862.pdf,Anthropic,"ML engineering,First entry,AI safety upskill to ML",9,74
AI as positive and negative risk factors,https://intelligence.org/files/AIPosNegFactor.pdf,Eliezer Yudkowsky,"First entry,ML engineering",7,45
AGI safety from first principles,https://www.lesswrong.com/s/mzgtmmTKKn5MuCzFJ,Richard Ngo,"First entry,ML engineering",7,35
Human Compatible,https://smile.amazon.com/Human-Compatible-Stuart-Russell-audiobook/dp/B07RLSGS2W/ref=sr_1_1?crid=2RT2LOPCCPXAH&keywords=human+compatible&qid=1645681009&s=audible&sprefix=human+compatible%2Caudible%2C108&sr=1-1,Stuart Russell,"First entry,ML engineering",8,352
GopherCite,https://storage.googleapis.com/deepmind-media/Teaching%20language%20models%20to%20support%20answers%20with%20verified%20quotes/Teaching%20language%20models%20to%20support%20answers%20with%20verified%20quotes.pdf,Deepmind,AI safety upskill to ML,12,40
The Singularity is Near,https://smile.amazon.com/The-Singularity-Is-Near-audiobook/dp/B07XPFT63D/ref=sr_1_1?crid=1CDY6DV8VCXWR&keywords=the+singularity+is+near&qid=1645680963&s=audible&sprefix=the+singularity+is+nea%2Caudible%2C118&sr=1-1,Ray Kurzweil,First entry,5,652
Instruct-GPT-3,https://arxiv.org/pdf/2203.02155.pdf,OpenAI,"ML engineering,First entry,AI safety upskill to ML",13,68
Concrete problems in AI safety,https://arxiv.org/abs/1606.06565,Dario Amodei et al.,NA,NA,26
Eliciting Latent Knowledge,https://docs.google.com/document/d/1WwsnJQstPq91_Yh-Ch2XRL8H_EpsnjrC1dwZXR37PC8/edit,Alignment Research Center,"ML engineering,First entry",13,106
Managing to Change the World,https://www.goodreads.com/book/show/13044641-managing-to-change-the-world?from_search=true&from_srp=true&qid=yY0zmXuJvd&rank=1,Alison Green,Management,NA,240
Whole Brain Emulation,https://www.fhi.ox.ac.uk/brain-emulation-roadmap-report.pdf,"Anders Sandberg, Nick Bostrom","AI safety upskill to ML,First entry",14,130
The Circuits Series 1,https://transformer-circuits.pub/2021/framework/index.html,Anthropic,"ML engineering,First entry,AI safety upskill to ML",15,49
The Circuits Series 2,https://transformer-circuits.pub/2022/in-context-learning-and-induction-heads/index.html,Anthropic,"ML engineering,First entry,AI safety upskill to ML",16,60
Smarter Than Us,https://smarterthan.us/toc/,Stuart Armstrong,First entry,2,64
The Circuits Series 0,https://distill.pub/2020/circuits/,OpenAI,"ML engineering,First entry,AI safety upskill to ML",14,72
World Models,https://worldmodels.github.io/,JÃ¼rgen Schmidhuber,"First entry,AI safety upskill to ML",10,21
General intelligence from AI services,https://www.fhi.ox.ac.uk/wp-content/uploads/Reframing_Superintelligence_FHI-TR-2019-1.1-1.pdf,K. Eric Drexler,"First entry,ML engineering",10,210
The Alignment Problem,https://smile.amazon.com/Alignment-Problem-Machine-Learning-Values/dp/0393635821?sa-no-redirect=1,Brain Christian,First entry,4,496
The AI Revolution,https://waitbutwhy.com/2015/01/artificial-intelligence-revolution-1.html,Tim Urban,First entry,3,84
Superintelligence,https://smile.amazon.com/Superintelligence-Nick-Bostrom-audiobook/dp/B00LPMFE9Y/ref=sr_1_1?crid=34KP1XN41F9GE&keywords=superintelligence&qid=1645680946&sprefix=superintelligenc%2Caps%2C135&sr=8-1,Nick Bostrom,"ML engineering,First entry",10,352
